Country,Crop,Year,Yield,Population,Yield_Growth_%
Lao PDR,cassava,2017,2277.1,6900.8,-5.51
Lao PDR,cassava,2018,3320.1,7013.0,45.8
Lao PDR,cassava,2019,4634.4,7123.2,39.59
Lao PDR,cassava,2020,4648.8,7261.2,0.31
Lao PDR,cassava,2021,3880.0,7337.8,-16.54
Lao PDR,cassava,2022,5286.0,7442.8,36.24
Lao PDR,maize,2013,1214.1,6644.0,
Lao PDR,maize,2014,1412.4,6809.1,16.33
Lao PDR,maize,2015,1516.3,6671.7,7.36
Lao PDR,maize,2016,1530.3,6787.0,0.92
Lao PDR,maize,2017,1203.1,6900.8,-21.38
Lao PDR,maize,2018,768.0,7013.0,-36.16
Lao PDR,maize,2019,547.9,7123.2,-28.66
Lao PDR,maize,2020,535.4,7261.2,-2.28
Lao PDR,maize,2021,649.2,7337.8,21.26
Lao PDR,maize,2022,462.8,7442.8,-28.71
Lao PDR,paddy,2013,3414.6,6644.0,
Lao PDR,paddy,2014,4002.4,6809.1,17.21
Lao PDR,paddy,2015,4048.2,6671.7,1.14
Lao PDR,paddy,2016,4300.0,6787.0,6.22
Lao PDR,paddy,2017,4055.4,6900.8,-5.69
Lao PDR,paddy,2018,3534.5,7013.0,-12.84
Lao PDR,paddy,2019,3506.8,7123.2,-0.78
Lao PDR,paddy,2020,3660.1,7261.2,4.37
Lao PDR,paddy,2021,3688.1,7337.8,0.77
Lao PDR,paddy,2022,3781.6,7442.8,2.54
Lao PDR,soybean,2013,13.9,6644.0,
Lao PDR,soybean,2014,17.0,6809.1,22.3
Lao PDR,soybean,2015,17.6,6671.7,3.53
Lao PDR,soybean,2016,17.9,6787.0,1.7
Lao PDR,soybean,2017,8.0,6900.8,-55.31
Lao PDR,soybean,2018,5.1,7013.0,-36.25
Lao PDR,soybean,2019,4.6,7123.2,-9.8
Lao PDR,soybean,2020,6.3,7261.2,36.96
Lao PDR,soybean,2021,6.5,7337.8,3.17
Lao PDR,soybean,2022,4.8,7442.8,-26.15
Lao PDR,sugarcane,2013,865.1,6644.0,
Lao PDR,sugarcane,2014,1840.5,6809.1,112.75
Lao PDR,sugarcane,2015,2018.7,6671.7,9.68
Lao PDR,sugarcane,2016,2019.0,6787.0,0.01
Lao PDR,sugarcane,2017,1764.4,6900.8,-12.61
Lao PDR,sugarcane,2018,1109.4,7013.0,-37.12
Lao PDR,sugarcane,2019,1191.2,7123.2,7.37
Lao PDR,sugarcane,2020,1141.2,7261.2,-4.2
Lao PDR,sugarcane,2021,1345.0,7337.8,17.86
Lao PDR,sugarcane,2022,1502.3,7442.8,11.7
Malaysia,cassava,2013,,,
Malaysia,cassava,2014,51.9,,
Malaysia,cassava,2015,57.1,,10.02
Malaysia,cassava,2016,62.8,,9.98
Malaysia,cassava,2017,44.2,,-29.62
Malaysia,cassava,2018,42.3,,-4.3
Malaysia,cassava,2019,37.5,,-11.35
Malaysia,cassava,2020,39.4,,5.07
Malaysia,cassava,2021,42.8,,8.63
Malaysia,cassava,2022,42.8,,0.0
Malaysia,maize,2013,86.5,,
Malaysia,maize,2014,59.2,,-31.56
Malaysia,maize,2015,62.5,,5.57
Malaysia,maize,2016,64.9,,3.84
Malaysia,maize,2017,72.6,,11.86
Malaysia,maize,2018,76.4,,5.23
Malaysia,maize,2019,,,0.0
Malaysia,maize,2020,,,0.0
Malaysia,maize,2021,,,0.0
Malaysia,maize,2022,60.0,,-21.47
Malaysia,paddy,2013,2615.9,,
Malaysia,paddy,2014,2848.6,,8.9
Malaysia,paddy,2015,2674.4,,-6.12
Malaysia,paddy,2016,2739.6,,2.44
Malaysia,paddy,2017,2570.5,,-6.17
Malaysia,paddy,2018,2639.2,,2.67
Malaysia,paddy,2019,2348.9,,-11.0
Malaysia,paddy,2020,2356.4,,0.32
Malaysia,paddy,2021,2293.8,,-2.66
Malaysia,paddy,2022,2364.5,,3.08
Malaysia,soybean,2013,,,
Malaysia,soybean,2014,,,
Malaysia,soybean,2015,,,
Malaysia,soybean,2016,,,
Malaysia,soybean,2017,,,
Malaysia,soybean,2018,,,
Malaysia,soybean,2019,,,
Malaysia,soybean,2020,,,
Malaysia,soybean,2021,,,
Malaysia,soybean,2022,,,
Malaysia,sugarcane,2013,98.9,,
Malaysia,sugarcane,2014,9.2,,-90.7
Malaysia,sugarcane,2015,30.3,,229.35
Malaysia,sugarcane,2016,28.0,,-7.59
Malaysia,sugarcane,2017,30.0,,7.14
Malaysia,sugarcane,2018,29.4,,-2.0
Malaysia,sugarcane,2019,,,0.0
Malaysia,sugarcane,2020,,,0.0
Malaysia,sugarcane,2021,,,0.0
Malaysia,sugarcane,2022,,,0.0
Myanmar,cassava,2013,578.6,51184.0,
Myanmar,cassava,2014,524.2,51991.0,-9.4
Myanmar,cassava,2015,484.9,52450.0,-7.5
Myanmar,cassava,2016,509.3,52917.0,5.03
Myanmar,cassava,2017,426.3,53388.0,-16.3
Myanmar,cassava,2018,394.6,53863.0,-7.44
Myanmar,cassava,2019,392.4,54340.0,-0.56
Myanmar,cassava,2020,396.2,54817.9,0.97
Myanmar,cassava,2021,326.3,55295.0,-17.64
Myanmar,cassava,2022,331.5,55770.2,1.59
Myanmar,maize,2013,1525.7,51184.0,
Myanmar,maize,2014,1626.3,51991.0,6.59
Myanmar,maize,2015,1720.6,52450.0,5.8
Myanmar,maize,2016,1855.0,52917.0,7.81
Myanmar,maize,2017,1831.0,53388.0,-1.29
Myanmar,maize,2018,1984.5,53863.0,8.38
Myanmar,maize,2019,1986.1,54340.0,0.08
Myanmar,maize,2020,2072.9,54817.9,4.37
Myanmar,maize,2021,2274.6,55295.0,9.73
Myanmar,maize,2022,2311.4,55770.2,1.62
Myanmar,paddy,2013,27703.7,51184.0,
Myanmar,paddy,2014,28322.2,51991.0,2.23
Myanmar,paddy,2015,28127.2,52450.0,-0.69
Myanmar,paddy,2016,29073.0,52917.0,3.36
Myanmar,paddy,2017,27255.4,53388.0,-6.25
Myanmar,paddy,2018,27573.4,53863.0,1.17
Myanmar,paddy,2019,26269.7,54340.0,-4.73
Myanmar,paddy,2020,25982.5,54817.9,-1.09
Myanmar,paddy,2021,26274.7,55295.0,1.12
Myanmar,paddy,2022,27446.0,55770.2,4.46
Myanmar,soybean,2013,237.9,51184.0,
Myanmar,soybean,2014,234.9,51991.0,-1.26
Myanmar,soybean,2015,228.9,52450.0,-2.55
Myanmar,soybean,2016,246.2,52917.0,7.56
Myanmar,soybean,2017,214.8,53388.0,-12.75
Myanmar,soybean,2018,207.0,53863.0,-3.63
Myanmar,soybean,2019,204.4,54340.0,-1.26
Myanmar,soybean,2020,194.6,54817.9,-4.79
Myanmar,soybean,2021,192.5,55295.0,-1.08
Myanmar,soybean,2022,195.6,55770.2,1.61
Myanmar,sugarcane,2013,9413.1,51184.0,
Myanmar,sugarcane,2014,10307.4,51991.0,9.5
Myanmar,sugarcane,2015,11128.4,52450.0,7.97
Myanmar,sugarcane,2016,10142.4,52917.0,-8.86
Myanmar,sugarcane,2017,10437.1,53388.0,2.91
Myanmar,sugarcane,2018,11397.2,53863.0,9.2
Myanmar,sugarcane,2019,11846.2,54340.0,3.94
Myanmar,sugarcane,2020,11560.3,54817.9,-2.41
Myanmar,sugarcane,2021,11333.4,55295.0,-1.96
Myanmar,sugarcane,2022,11333.4,55770.2,0.0
Philippines,cassava,2013,2361.6,98196.5,
Philippines,cassava,2014,2540.3,99880.3,7.57
Philippines,cassava,2015,2714.1,101562.3,6.84
Philippines,cassava,2016,2857.9,103242.9,5.3
Philippines,cassava,2017,2792.0,104921.4,-2.31
Philippines,cassava,2018,2634.1,105755.2,-5.66
Philippines,cassava,2019,2603.4,107288.2,-1.17
Philippines,cassava,2020,2539.8,108667.0,-2.44
Philippines,cassava,2021,2571.5,110198.0,1.25
Philippines,cassava,2022,2553.4,111572.3,-0.7
Philippines,maize,2013,7377.3,98196.5,
Philippines,maize,2014,7770.6,99880.3,5.33
Philippines,maize,2015,7553.0,101562.3,-2.8
Philippines,maize,2016,7813.4,103242.9,3.45
Philippines,maize,2017,8087.0,104921.4,3.5
Philippines,maize,2018,7608.5,105755.2,-5.92
Philippines,maize,2019,8030.0,107288.2,5.54
Philippines,maize,2020,8280.0,108667.0,3.11
Philippines,maize,2021,8462.0,110198.0,2.2
Philippines,maize,2022,8344.0,111572.3,-1.39
Philippines,paddy,2013,18439.4,98196.5,
Philippines,paddy,2014,18967.8,99880.3,2.87
Philippines,paddy,2015,18296.7,101562.3,-3.54
Philippines,paddy,2016,18365.3,103242.9,0.37
Philippines,paddy,2017,18549.6,104921.4,1.0
Philippines,paddy,2018,18622.3,105755.2,0.39
Philippines,paddy,2019,18932.1,107288.2,1.66
Philippines,paddy,2020,19708.0,108667.0,4.1
Philippines,paddy,2021,20091.5,110198.0,1.95
Philippines,paddy,2022,19904.0,111572.3,-0.93
Philippines,soybean,2013,0.8,98196.5,
Philippines,soybean,2014,0.7,99880.3,-12.5
Philippines,soybean,2015,0.6,101562.3,-14.29
Philippines,soybean,2016,0.6,103242.9,0.0
Philippines,soybean,2017,0.7,104921.4,16.67
Philippines,soybean,2018,0.7,105755.2,0.0
Philippines,soybean,2019,0.5,107288.2,-28.57
Philippines,soybean,2020,0.5,108667.0,0.0
Philippines,soybean,2021,0.4,110198.0,-20.0
Philippines,soybean,2022,0.4,111572.3,0.0
Philippines,sugarcane,2013,24584.8,98196.5,
Philippines,sugarcane,2014,24175.3,99880.3,-1.67
Philippines,sugarcane,2015,22654.0,101562.3,-6.29
Philippines,sugarcane,2016,22349.8,103242.9,-1.34
Philippines,sugarcane,2017,27599.8,104921.4,23.49
Philippines,sugarcane,2018,21359.9,105755.2,-22.61
Philippines,sugarcane,2019,23297.8,107288.2,9.07
Philippines,sugarcane,2020,25134.6,108667.0,7.88
Philippines,sugarcane,2021,20449.6,110198.0,-18.64
Philippines,sugarcane,2022,20326.1,111572.3,-0.6
Singapore,cassava,2013,,5399.2,
Singapore,cassava,2014,,5469.7,
Singapore,cassava,2015,,5535.0,
Singapore,cassava,2016,,5607.3,
Singapore,cassava,2017,,5612.3,
Singapore,cassava,2018,,5638.7,
Singapore,cassava,2019,,5703.6,
Singapore,cassava,2020,,5685.8,
Singapore,cassava,2021,,5453.6,
Singapore,cassava,2022,,5637.0,
Singapore,maize,2013,,5399.2,
Singapore,maize,2014,,5469.7,
Singapore,maize,2015,,5535.0,
Singapore,maize,2016,,5607.3,
Singapore,maize,2017,,5612.3,
Singapore,maize,2018,,5638.7,
Singapore,maize,2019,,5703.6,
Singapore,maize,2020,,5685.8,
Singapore,maize,2021,,5453.6,
Singapore,maize,2022,,5637.0,
Singapore,paddy,2013,,5399.2,
Singapore,paddy,2014,,5469.7,
Singapore,paddy,2015,,5535.0,
Singapore,paddy,2016,,5607.3,
Singapore,paddy,2017,,5612.3,
Singapore,paddy,2018,,5638.7,
Singapore,paddy,2019,,5703.6,
Singapore,paddy,2020,,5685.8,
Singapore,paddy,2021,,5453.6,
Singapore,paddy,2022,,5637.0,
Singapore,soybean,2013,,5399.2,
Singapore,soybean,2014,,5469.7,
Singapore,soybean,2015,,5535.0,
Singapore,soybean,2016,,5607.3,
Singapore,soybean,2017,,5612.3,
Singapore,soybean,2018,,5638.7,
Singapore,soybean,2019,,5703.6,
Singapore,soybean,2020,,5685.8,
Singapore,soybean,2021,,5453.6,
Singapore,soybean,2022,,5637.0,
Singapore,sugarcane,2013,,5399.2,
Singapore,sugarcane,2014,,5469.7,
Singapore,sugarcane,2015,,5535.0,
Singapore,sugarcane,2016,,5607.3,
Singapore,sugarcane,2017,,5612.3,
Singapore,sugarcane,2018,,5638.7,
Singapore,sugarcane,2019,,5703.6,
Singapore,sugarcane,2020,,5685.8,
Singapore,sugarcane,2021,,5453.6,
Singapore,sugarcane,2022,,5637.0,
Thailand,cassava,2013,30227.5,66754.6,
Thailand,cassava,2014,30022.1,67002.6,-0.68
Thailand,cassava,2015,32357.7,67236.0,7.78
Thailand,cassava,2016,31807.5,67454.7,-1.7
Thailand,cassava,2017,30935.5,67653.2,-2.74
Thailand,cassava,2018,31080.0,67831.6,0.47
Thailand,cassava,2019,28999.1,65557.1,-6.7
Thailand,cassava,2020,35094.5,65421.1,21.02
Thailand,cassava,2021,34690.9,65213.0,-1.15
Thailand,cassava,2022,34068.0,66090.0,-1.8
Thailand,maize,2013,5061.1,66754.6,
Thailand,maize,2014,4715.3,67002.6,-6.83
Thailand,maize,2015,4620.0,67236.0,-2.02
Thailand,maize,2016,4691.0,67454.7,1.54
Thailand,maize,2017,4601.2,67653.2,-1.91
Thailand,maize,2018,4812.4,67831.6,4.59
Thailand,maize,2019,4703.0,65557.1,-2.27
Thailand,maize,2020,4995.2,65421.1,6.21
Thailand,maize,2021,4937.8,65213.0,-1.15
Thailand,maize,2022,4895.7,66090.0,-0.85
Thailand,paddy,2013,38000.2,66754.6,
Thailand,paddy,2014,36762.3,67002.6,-3.26
Thailand,paddy,2015,31616.9,67236.0,-14.0
Thailand,paddy,2016,27418.5,67454.7,-13.28
Thailand,paddy,2017,31857.2,67653.2,16.19
Thailand,paddy,2018,32348.1,67831.6,1.54
Thailand,paddy,2019,28618.0,65557.1,-11.53
Thailand,paddy,2020,31734.3,65421.1,10.89
Thailand,paddy,2021,33582.0,65213.0,5.82
Thailand,paddy,2022,32977.8,66090.0,-1.8
Thailand,soybean,2013,52.7,66754.6,
Thailand,soybean,2014,55.9,67002.6,6.07
Thailand,soybean,2015,42.4,67236.0,-24.15
Thailand,soybean,2016,37.8,67454.7,-10.85
Thailand,soybean,2017,41.2,67653.2,8.99
Thailand,soybean,2018,43.6,67831.6,5.83
Thailand,soybean,2019,35.5,65557.1,-18.58
Thailand,soybean,2020,30.8,65421.1,-13.24
Thailand,soybean,2021,23.5,65213.0,-23.7
Thailand,soybean,2022,20.9,66090.0,-11.06
Thailand,sugarcane,2013,100095.6,66754.6,
Thailand,sugarcane,2014,103697.0,67002.6,3.6
Thailand,sugarcane,2015,106327.8,67236.0,2.54
Thailand,sugarcane,2016,99100.2,67454.7,-6.8
Thailand,sugarcane,2017,93088.5,67653.2,-6.07
Thailand,sugarcane,2018,131002.2,67831.6,40.73
Thailand,sugarcane,2019,74968.1,65557.1,-42.77
Thailand,sugarcane,2020,66725.5,65421.1,-10.99
Thailand,sugarcane,2021,92095.8,65213.0,38.02
Thailand,sugarcane,2022,92070.7,66090.0,-0.03
Viet Nam,cassava,2013,9742.5,90191.4,
Viet Nam,cassava,2014,10211.1,91203.8,4.81
Viet Nam,cassava,2015,10673.7,92228.6,4.53
Viet Nam,cassava,2016,10200.9,93250.7,-4.43
Viet Nam,cassava,2017,11263.2,94286.0,10.41
Viet Nam,cassava,2018,10105.9,95385.2,-10.28
Viet Nam,cassava,2019,10487.8,96484.0,3.78
Viet Nam,cassava,2020,10697.3,97582.7,2.0
Viet Nam,cassava,2021,10911.3,98506.2,2.0
Viet Nam,cassava,2022,10646.5,99461.7,-2.43
Viet Nam,maize,2013,5193.4,90191.4,
Viet Nam,maize,2014,5200.4,91203.8,0.13
Viet Nam,maize,2015,5280.7,92228.6,1.54
Viet Nam,maize,2016,5251.8,93250.7,-0.55
Viet Nam,maize,2017,5109.8,94286.0,-2.7
Viet Nam,maize,2018,4756.7,95385.2,-6.91
Viet Nam,maize,2019,4732.2,96484.0,-0.52
Viet Nam,maize,2020,4405.8,97582.7,-6.9
Viet Nam,maize,2021,4435.4,98506.2,0.67
Viet Nam,maize,2022,4412.1,99461.7,-0.53
Viet Nam,paddy,2013,44076.1,90191.4,
Viet Nam,paddy,2014,44972.8,91203.8,2.03
Viet Nam,paddy,2015,45215.7,92228.6,0.54
Viet Nam,paddy,2016,45640.0,93250.7,0.94
Viet Nam,paddy,2017,42763.7,94286.0,-6.3
Viet Nam,paddy,2018,43443.4,95385.2,1.59
Viet Nam,paddy,2019,42301.1,96484.0,-2.63
Viet Nam,paddy,2020,43878.1,97582.7,3.73
Viet Nam,paddy,2021,43543.7,98506.2,-0.76
Viet Nam,paddy,2022,42661.6,99461.7,-2.03
Viet Nam,soybean,2013,168.4,90191.4,
Viet Nam,soybean,2014,156.5,91203.8,-7.07
Viet Nam,soybean,2015,146.4,92228.6,-6.45
Viet Nam,soybean,2016,137.7,93250.7,-5.94
Viet Nam,soybean,2017,101.9,94286.0,-26.0
Viet Nam,soybean,2018,75.9,95385.2,-25.52
Viet Nam,soybean,2019,77.3,96484.0,1.84
Viet Nam,soybean,2020,60.2,97582.7,-22.12
Viet Nam,soybean,2021,63.6,98506.2,5.65
Viet Nam,soybean,2022,52.1,99461.7,-18.08
Viet Nam,sugarcane,2013,20018.4,90191.4,
Viet Nam,sugarcane,2014,19827.7,91203.8,-0.95
Viet Nam,sugarcane,2015,18320.8,92228.6,-7.6
Viet Nam,sugarcane,2016,16313.2,93250.7,-10.96
Viet Nam,sugarcane,2017,18319.2,94286.0,12.3
Viet Nam,sugarcane,2018,15265.7,95385.2,-16.67
Viet Nam,sugarcane,2019,11534.5,96484.0,-24.44
Viet Nam,sugarcane,2020,8074.2,97582.7,-30.0
Viet Nam,sugarcane,2021,11403.7,98506.2,41.24
Viet Nam,sugarcane,2022,7523.0,99461.7,-34.03
